Name,Price,Rating
Infinix X1 108 cm (43 inch) Full HD LED Smart Android TV with Eye Care Technology,"₹20,999",4.2
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,"₹36,990",4.3
TCL S6500 Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹24,999",4.3
MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹52,999",4.4
KODAK CA Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹31,999",4.5
SAMSUNG Crystal 4K Pro 146 cm (58 inch) Ultra HD (4K) LED Smart TV with Voice Search,"₹59,990",4.3
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹54,999",4.6
MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,"₹39,999",4.4
Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...,"₹27,999",4.6
Micromax Smart LED TV 109 cm (43 inch) Full HD LED Smart TV,"₹21,999",3.9
Mi Q1 189.34 cm (75 inch) QLED Ultra HD (4K) Smart Android TV,"₹1,27,999",4.4
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹18,999",4.4
iFFALCON 100.3 cm (40 inch) Full HD LED Smart Android TV with Google assistant search and Dolby Audio,"₹19,999",4.3
MOTOROLA ZX Pro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,"₹44,999",4.4
TCL S65A Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",4.2
"Hisense A73F 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...","₹73,990",4.5
